Context,intent,context_rw
"I recently broke up with my boyfriend After being together for over 4 years. I truly believe I did the right thing, but omehow being single now has made me very needy and unsure of myself.
    I am seeing someone casually and I am losing my mind with anxiety about how he feels about me and this need for validation.
   How can I learn to be content and at peace with myself regardless of my career, relationship status, etc?",overwhelmed_identity,"Nyuma y'imyaka 4 nari kumwe n'umukunzi wanjye, naherukaga gutandukana na we. Nizeye ko nakoze ikikwiriye, ariko kuba ndi umuseribateri byatumye numva nkeneye cyane no kutamenya uko ndi. Ndimo mpura n'umuntu mu buryo butunguranye kandi ndumva mpangayikishijwe n'uko anyumva n'uko nkeneye gushyirwa mu bikorwa."
"I'm a teenager, and while I’ve never been to any kind of therapist, I noticed I experience several anxiety symptoms. I frequently find myself not going out and following my parent around the house. I can't go into stores (grocery stores specifically) on my own, and when I do, I have to be on the phone with my dad the whole time. I also forget things a lot.",overwhelmed_identity,"Ndi ingimbi, kandi nubwo ntari narigeze njya kwa muganga, nabonye ko mfite ibimenyetso byinshi byo guhangayika. Incuro nyinshi, sinjya hanze nkakurikira ababyeyi banjye mu rugo. Sinshobora kujya mu maduka (mu by'umwihariko mu maduka y'ubucuruzi bw'ibiribwa) jyenyine, kandi iyo mbigenje ntyo, mba ngomba guhora ndi kuri telefoni ndi kumwe na papa. Nanone nibagirwa ibintu byinshi."
"I am a really shy person. I'm currently in a graduate program which requires lots of presentations, but they always make me feel stressed out and less confident. How can I get more confident?",anxiety_worry,"Ndi umuntu ugira amasonisoni cyane. Ubu ndi mu ishuri ry'impamyabumenyi y'ikirenga risaba gutanga ibiganiro byinshi, ariko buri gihe bituma numva mpangayitse kandi ntumva mfite icyizere."
"I start counseling/therapy in a few days (I'm freaking out) but my main fear is that I'll cry and embarrass myself, is it something to worry about?",overwhelmed_identity,"Mu minsi mike ntangira kujya mu buvugizi/ubuvuzi (ndatangiye gutenguhuka) ariko ubwoba bwanjye bw'ibanze ni uko nzarira kandi nkumva ndi mu kaga, ese hari icyo bitwaye?"
I feel too scared to meet people I don't know - even relatives. I don't ever raise my hand or talk in school. I feel like no one understands. How can I handle this?,anxiety_worry,"Ndumva mfite ubwoba bwo guhura n'abantu ntazi, ndetse n'abavandimwe. Sinigeze nturaho cyangwa ngo mvuge mu ishuri."
"I'm a male in my early 20s. Lately, my paranoia about being around kids is causing me too breathe heavy and sweat a lot. I then start to act weird because I'm trying to fight my paranoia. This leads to people starring at me because they don't know that I'm suffering from panic attacks and paranoia. They just notice me acting scared around kids and they think I'm a threat because of it.    I'm not a pervert or predator. I would never hurt a kid. I like kids and don't know why I'm so scared to be around them.    I don't understand why I feel like this. Am I a bad person? How do I make this stop?",anxiety_worry,"Ndi umugabo w'imyaka 20 y'amavuko. Muri iyi minsi, paranoia yanjye yo kuba ndi kumwe n'abana ituma mpumeka cyane kandi nkatinda cyane. Hanyuma ntangira kwitwara nabi kuko ngerageza kurwanya paranoia yanjye. Ibi bituma abantu banyitegereza kuko batazi ko mpanganye n'ibitero by'ubwoba n'ubushotoranyi."
"Example would be homecoming? I was at my high school's home football game on Friday, and I left because I felt uncomfortable with all the people there and I just wanted to be by myself. Why is that?",overwhelmed_identity,"Urugero, nari mu mikino yo mu rugo y'ishuri ry'ikirenga ku wa Gatanu, maze ndagenda kuko numvaga ntishimye ndi kumwe n'abantu bose bari aho, kandi nifuzaga kuba jyenyine."
"I am a female and in my early teens. I don't want to feel afraid of people. When I meet someone, I know that they are okay, but I still feel afraid.",anxiety_worry,"Ndi umukobwa, kandi ndi ingimbi cyangwa umwangavu, sinshaka gutinya abantu. Iyo mpuriye n'umuntu, menya ko nta kibazo afite, ariko ndacyatinya."
"My son was diagnosed with autism a few years ago and I stopped working so that I could take care of him. I also was dealing with an abusive relationship (mentally, physically, and emotionally). Now I live like a recluse and I always feel nervous around people.
   How can I feel more comfortable around other people?",self_care_coping,"Hari igihe umugabo umwe w'Umukristo w'indahemuka yambwiye ati ""nifuzaga ko mu muryango wanjye haba amahoro, amahoro n'umutekano, kandi nifuza ko mu muryango wanjye haba amahoro n'umutekano""."
"Sometimes, I'm fine and can go out or meet people, but other days, my heart races and words physically cannot come out of my mouth. I've always thought it was normal and I was just nervous, but the other day, it took me almost 30 minutes of sitting in my car to find the courage to enter Target by myself.",overwhelmed_identity,"Rimwe na rimwe, ndumva meze neza kandi nshobora gusohoka cyangwa guhura n'abantu, ariko ku yindi minsi, umutima wanjye uratemba kandi amagambo yanjye ntashobora gusohoka mu kanwa."
"A lot of times, I avoid situations where I am to meet new people because I have a fear of embarrassing myself. I often avoid large groups of people, like parties, because I think they all constantly judge me.",overwhelmed_identity,"Akenshi nirinda guhura n'abantu bashya kubera ko ntinya kwibabaza, kandi akenshi nirinda abantu benshi, urugero nk'amatsinda, kuko numva ko bose banyicira urubanza."
"My partner lives in Canada while I live in the US. We visit each other, but we go months in between visits. I have anxiety, and I'm always anxious about him cheating or still having feelings for an ex that he dated for three years. He doesn't understand my anxiety. How do I stop myself from worrying so much?",overwhelmed_identity,"Umukunzi wanjye aba muri Canada nanjye nkaba muri Amerika. Turasurana ariko tugenda amezi hagati y'amasura. Mfite impungenge, kandi mpora mpangayikishijwe no kubona asambana cyangwa akomeje kugira ibyiyumvo ku wahoze ari kumwe mu myaka itatu. Ntiyumva impungenge zanjye. Ni gute nakwirinda guhangayika cyane?"
I just about fall asleep then I can't help but sit up and walk around.,sleep,"Iyo ngiye gusinzira, sinashoboraga kwifata ngo ntigume ndiho."
I have severe anxiety and have tried everything. Everything makes it worst.The only thing that helps is my emotional support animal.,anxiety_worry,Mfite impungenge zikomeye kandi nagerageje byose.
"I'm just an extremely paranoid person. I constantly feel as though I am in some sort of danger, like as though I live in a horror movie with no resolution. It worsens at night. It gets to the point I'm scared in my own home more so than anything. I have no access to the help I need so I'm desperate.",anxiety_worry,"Ndi umuntu ufite paranoia cyane. Buri gihe numva ko ndi mu kaga, nk'aho mba muri filime iteye ubwoba nta cyo nshoboye gukora. Iyo nijoro birushaho kuzamba. Ndumva mfite ubwoba mu rugo rwanjye kurusha ikindi kintu cyose."
"I don't know if I'm normal. I'm really scared to touch a girl. I'm a young adult and a virgin. My fiancée and I want to have sex soon, and this might mess everything up because she wants a baby soon as well.",anxiety_worry,Sinzi niba ndi umuntu usanzwe. Mfite ubwoba bwo gukora ku mukobwa. Ndi umuntu ukiri muto kandi ndi isugi.
"I am a peaceful person, but I often find myself having thoughts about killing people. Eventhough I like the thoughts at the time, they make me cry. Why do I feel like this?",overwhelmed_identity,"Nubwo ni umuntu w'amahoro, akenshi mpora ntekereza kwica abantu, nubwo icyo gihe ibyo nibwira bintera kurira."
I shake and have panic attacks.,anxiety_worry,Ndatigita kandi ngira ibyago byo gutinya.
I haven't been feeling like myself lately. I've been upset for no reason and feeling anxious. I'm feeling burnt out. What can help me feel better?,overwhelmed_identity,"Ubu ndumva nta cyo maze, ndumva mfite agahinda kandi mfite ubwoba, numva ndushe, ni iki cyamfasha kumva meze neza?"
"I have a fear of something and I want to face that fear to overcome it, but I don't know how. What can I do?",self_care_coping,"Hari ikintu kimwe kintera ubwoba, kandi nifuza guhangana na cyo kugira ngo ndeke kugitinya, ariko sinzi uko mbikora."
"I've hit my head on walls and floors ever since I was young. I sometimes still do it but I don't exactly know why,    I have anxiety and I had a rough childhood but now I'll start to hit my head and sometimes not realize it but I don't know how to stop or even why I'm doing it.    How can I help myself to change my behavior?",overwhelmed_identity,"Kuva nkiri muto, nagiye mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita mpita"
Why am I so afraid of it? I don't understand.,anxiety_worry,Kuki mbyitinya cyane?
"I have attention-deficit/hyperactivity disorder, posttraumatic stress disorder, anxiety, anger, and memory problems. I can't work. I have no income. I'm on medicine, but I feel worthless. I want to be normal.",sadness_low_mood,"Mfite ikibazo cyo guhangayika, uburakari no kwibuka, ntashobora gukora, nta mafaranga mfite, mfata imiti ariko numva nta cyo maze, nifuza kuba umuntu usanzwe."
"I never feel like myself. I can’t even think straight anymore. I start stuttering and I can’t remember anything. I always get nervous and usually talk myself down but recently end up fighting with, what feels like, someone else. I don’t know why I feel this way, but I hate it.",overwhelmed_identity,"Sinigeze numva ndi umuntu nk'uko ndi. Sinkibasha no gutekereza neza. Ntangira guhuhuta kandi nta kintu na kimwe nibuka. Buri gihe ndumva mfite ubwoba kandi akenshi ndumva niyica ariko vuba aha ndangiza ndwana n'undi muntu, numva ari nk'aho ari undi. Sinzi impamvu numva meze ntyo, ariko ndacyanga."
"I had to put a restraining order against my ex-fiancé. He was served last night. He was mentally and verbally abusive towards me. I thought it was my nerves, but every time I stand up, I get sick. If I sit and rock, I'm fine.",sleep,"Nafashe itegeko ryo guhagarika uwo nakundanye, yaransuzuguye mu buryo bw'umwuka no mu magambo, numvaga ari ibyiyumvo byanjye, ariko buri gihe iyo mpagurutse ndwara, iyo nicaye nkumva meze neza."
"I've been dealing with this for years. My mom thinks I'm overly emotional and refuses to offer any help, like therapy or seeing a doctor. She's seen me when I'm having a panic attack and just said I was faking for attention or that I'm a hypochondriac. I just want to get better.",anxiety_worry,"Mama we abona ko mfite ibyiyumvo byinshi cyane, yanga kumfasha, nko kwivuza cyangwa kujya kwa muganga, yambonye mfite igitero cy'ubwoba, maze ambwira ko nagiraga ngo abantu banyiteho cyangwa ko ndi umuntu ufite indwara yo kutabona ibintu neza."
"I’ve been on 0.5 mg of Xanax twice a day for the past month. It hasn't been helping me at all, but when I take 1 mg during a big anxiety attack, it calms me down. I was wondering how I can ask my psychologist to up the dose to 1 mg twice a day without her thinking I'm abusing them. I just have very big anxiety attacks. Should I stay on the 0.5mg and deal with the attacks or should I ask to up the dose? I'm afraid she will take me off them and put me on something else.",sadness_low_mood,"Mfite iki kibazo cy'uburwayi, ni ukuvuga ko iyo umuntu afashwe n'umuntu ufite ikibazo cy'uburwayi, aba afite ikibazo cy'uburwayi, kandi iyo umuntu afashwe n'umuntu ufite uburwayi, aba afite ikibazo cy'uburwayi."
"I am so terrified of having sex anymore because I have been told over and over that sex is dangerous even though me and my partner used both forms of protection. My partner is not happy about this and simply wants more sex, and honestly, I want to give that to her.",relationship_support,Ubu ntinya cyane gukora imibonano mpuzabitsina kuko nahoraga mbwirwa ko imibonano mpuzabitsina iteje akaga nubwo jye n'uwo twashakanye twakoreshaga uburyo bubiri bwo kwirinda.
"I was in a car accident and totaled my car. I gave up my job of nine years to pursue school full-time to better myself. I failed a class, and my boyfriend that I live with thinks I’m stupid and wants to break up with me. I have nowhere to go, and I feel like I’m losing everything.",overwhelmed_identity,"Naraye mpanganye n'impanuka y'imodoka, imodoka yanjye iragwa. Naretse akazi kanjye k'imyaka icyenda kugira ngo njye kwiga igihe cyose kugira ngo ndusheho kumererwa neza. Naratsinzwe ishuri, kandi umukunzi wanjye tubana atekereza ko ndi umusazi kandi ko ashaka kundeka. Nta handi nagiye, kandi numva ko mpombye byose."
It's especially bad at night time. I am scared of sleeping alone.,sleep,"Ni bibi cyane nijoro, kuko mpangayikishwa no gusinzira jyenyine."
"I am on the track and softball team. My school is small, so I play all four sports it offers. I feel obligated to do track because I'm not a horrible runner, and my dad wants me to. The catch is is that the days before a track meet and the morning of, I get sick and cry.",sadness_low_mood,"Ndi mu ikipe y'imikino ngororamubiri n'umupira w'amaguru. Ishuri ryanjye ni rito, bityo nkina siporo zose uko ari enye. Numva nshinzwe gukora siporo kuko ntari umukinnyi mubi, kandi papa arashaka ko mbikora."
"I'm socially awkward. I've always want to be popular. I've had the opportunity to be popular, but every time I get i,t I'm too scared. All I have to do is talk the popular people. They're really nice to me, but I'm too scared of change. I really want to work up the courage to lose my fear.",anxiety_worry,"Ndi umuntu udasanzwe mu muryango. Buri gihe nifuza kuba umuntu ukunzwe. Nagize amahirwe yo kuba umuntu ukunzwe, ariko buri gihe iyo mbyifuzaga, numvaga mfite ubwoba. Icyo nkeneye gukora ni ukuganira n'abantu bakunzwe. Baranyitayeho cyane, ariko mfite ubwoba bwo guhinduka."
I have a bad habit of thinking and worrying about what others may think of me. I really want to stop it and enjoy things.,anxiety_worry,"Nkunda gutekereza ku byo abandi bashobora kunyitekerezaho, kandi nkumva nshaka kureka ibyo bintu maze nkishimira ubuzima."
I feel really uncomfortable when I have people's attention. It makes me not want to talk in public or answer questions in class. Can I get over this social anxiety?,anxiety_worry,"Iyo abantu banyitayeho, numva ntishimye cyane, kuko bituma ntashaka kuvugira mu ruhame cyangwa gusubiza ibibazo mu ishuri."
I have been having a lot of nightmares where I am being killed in different ways. I either wake up in a panic or just crying and sweating. It has made me terrified of falling asleep and is now affecting my daily life too. Can I make the nightmares stop?,sleep,"Hari igihe nabonaga abantu banyishe mu buryo butandukanye, nkumva nterewe ubwoba cyangwa nkarira nkumva n'amarira."
"My boyfriend and I have been dating for almost a year. We go to different schools, and we don't see each other that often. I just feel very paranoid that there's someone else or that he could be hiding something from me.",relationship_support,"Jye n'umukunzi wanjye tumaze hafi umwaka dukundana. Tujya mu mashuri atandukanye, kandi ntiturabana kenshi. Gusa numva mfite ipfunwe ryinshi ko hari undi muntu cyangwa ko ashobora kuba anshira ikintu."
"I'm concerned about my boyfriend. I suffer from anxiety, but I always have this feeling he wants to hurt me because he told me he was interested in BDSM intercourse. We haven't tried it, but I've had this feeling he always wants to.",sleep,"Mfite impungenge ku mukunzi wanjye, ndwara indwara yo guhangayika, ariko buri gihe numva ko ashaka kunkorera nabi kuko yambwiye ko ashishikajwe no gukora imibonano mpuzabitsina na BDSM."
"I get so much anxiety, and I don’t know why. I feel like I can’t do anything by myself because I’m scared of the outcomes.",overwhelmed_identity,"Mfite ubwoba bwinshi, kandi sinzi impamvu, numva nta cyo nshobora gukora jyenyine kuko ntinya ingaruka."
"I started dating my fiancé two years ago. My first cousin is married to my fiancé’s sister. There has always been a communication issue between my uncle and aunt and my cousin and his wife. My uncle goes to my mom instead of talking to my cousin, and it upsets my mom.",relationship_support,"Mu myaka ibiri ishize natangiye gukundana n'umukunzi wanjye. Umusaza wanjye wa mbere yashyingiranywe na mushiki w'umusaza wanjye. Buri gihe haba ibibazo byo kuvugana hagati ya databuja na nyirarume, na mama wa mama na nyina."
"I am a teenage girl. I've been seeing the same dream once in a while since I was very young. The problem is that I don't remember anything about this dream. I still know that it's the same one, and then I wake up in a panic, and I cry really loud without knowing the reason. Why do I see the same dream, why can I not remember it, and what should I do to remember it?",sadness_low_mood,"Ndi umukobwa w'ingimbi. Kuva nkiri muto cyane, rimwe na rimwe nabonaga inzozi nk'izo. Ikibazo ni uko nta kintu na kimwe nibuka kuri izo nzozi. Ndacyari nzi ko ari zimwe, hanyuma nkakanguka mfite ubwoba, nkarira cyane ntazi impamvu. Kuki mbona inzozi imwe, kuki ntashobora kuzibuka, kandi se nkwiriye gukora iki ngo mbiyibuke?"
"I’ve been with my boyfriend for a year and a half. He loves me a lot, and I love him. It hurts to be apart from him for so long. It hurts all over, and then I feel like it won't last.",relationship_support,"Mfite umukunzi wanjye, arankunda cyane, nanjye ndamukunda. Birambabaza kuba ntari kumwe na we igihe kirekire. Birambabaza cyane, hanyuma numva ko bitazakomeza."
"I started seeing this guy that I met at a mutual friend’s place. He recently broke up with his ex-girlfriend and started seeing me. Everything was great in the beginning, then I started having low self-esteem thoughts and thinking he was hanging with his ex-girlfriend again. It’s all I think about. I am still seeing him, but things have changed because I am at a loss for words. I get stuck in my own thoughts. I like and care for him a lot. He just makes me nervous and gives me the butterflies.",anxiety_worry,"Natangiye kujya nsanga uyu musore najyaga mpura na we mu nzu y'inshuti. Haje igihe gito atandukanye n'umukunzi we wa kera atangira kumenyana nanjye. Ibintu byose byari byiza mu ntangiriro, nyuma ntangira kugira ibitekerezo byo kwiyemera hasi, ntangira gutekereza ko yongeye gusabana n'umukunzi we wa kera. Ni byo gusa ntekereza. Ndacyamubona ariko ibintu byarahindutse kuko nta magambo mfite. Ndatwarwa n'ibitekerezo byanjye. Ndamukunda kandi ndamuha agaciro cyane. Antera ubwoba gusa akanampa ibishushanyo mbonera."
"I have not had a friend since I was 19. I don't go anywhere, and I have no job, all because I'm afraid of people.",anxiety_worry,"Kuva mfite imyaka 19, nta ncuti ngira, kandi nta kazi mfite, byose bitewe n'uko ntinya abantu."
"I feel insecure in my life. I don't think my wife truly wants our relationship even though she says she does. I have turned to drinking to help relieve my repressed stress about this and other issues. I have had a drinking problem for a few years. I feel the reason I drink is not just because I like to, but because I have lately been on edge. I’ve been very oddly emotional when watching movies that I have been watching for years. I’m paranoid about driving on main roads. I’m very jumpy at the slightest noises.",anxiety_worry,"Numva ntekanye mu buzima bwanjye. Ntekereza ko umugore wanjye yifuza umubano wacu nubwo avuga ko abishaka. Nagiye kunywa inzoga kugira ngo mpumure stress yanjye ivanze n'ibyo n'ibindi bibazo. Mfite ikibazo cyo kunywa imyaka mike. Numva impamvu nywa inzoga atari uko mbishaka gusa, ahubwo ni uko mu minsi ishize ndi mu rujijo. Mbabazwa cyane no kureba filimi namaze imyaka myinshi ndeba. Mbabazwa no gutwara imodoka ku mihanda minini. Mbabazwa cyane n'urusaku rworoheje."
"I think I'm annoying and bothersome, but my girlfriend says I'm just fine. I don't think so, I think I'm stressing everyone else out",anxiety_worry,"Ntekereza ko ari njyewe umbuza amahoro kandi umbuza amahwemo, ariko umukunzi wanjye avuga ko nta kibazo mfite."
"When I go to school, I feel like everyone is judging me, even my friends. I get overwhelmed which these thoughts and sometimes cannot get out of what I call a deep hole of thoughts. I barely go to any of our school dances because of all of the people. Not even when I am completely alone do these thoughts go away. I still feel like people can see me and are judging me.",overwhelmed_identity,"Iyo njya ku ishuri numva ko buri wese ansuzuma, ndetse n'inshuti zanjye. Ndumva ndemerewe cyane n'ibyo bitekerezo kandi rimwe na rimwe ntashobora gusohoka mu byo nitwa icyuho cy'ibitekerezo. Ndetse njya ku ncuro ya mbere mu kubyina kw'ishuri kubera abantu bose. Ndetse n'igihe ndi jyenyine, ibyo bitekerezo ntibivaho. Ndacyumva ko abantu bashobora kunbona bakancira urubanza."
"Recently, I had a close call after delivering my second child (blood clot followed by internal bleeding and several blood transfusions). It was a close call. I am currently undergoing medical treatment because of the event, and I am constantly afraid the whole ordeal will happen again. I have never really had anxiety in the past, but I find now that it consumes my every day and night. With two beautiful children to raise, I am most terrified of not being able to raise and protect them.",anxiety_worry,"Mu minsi ishize, ubwo nari maze kubyara umwana wanjye wa kabiri (amaraso y'ibinyugunyugu yakurikiwe n'amaraso y'imbere n'amaraso y'ibinyabuzima). Ni ikibazo gikomeye. Ubu ndi mu buvuzi kubera icyo kintu, kandi mpora mfite ubwoba ko icyo kigeragezo cyose kizasubiraho."
"I constantly have this urge to throw away all my stuff. It’s constantly on my mind and makes me feel anxious. I don’t sleep because I’m thinking about something I can get rid of. I don’t know why I do it. I started years ago when I lived with my dad then I stopped when I moved in with my mom. Years later, it has started again.",sleep,"Buri gihe mba mfite icyifuzo cyo guterera ibintu byanjye byose. Buri gihe biba mu bwenge bwanjye kandi bituma numva mpangayitse. Sinasinzira kuko ntekereza ku kintu nshobora kwikuraho. Sinzi impamvu mbikora. Natangiye imyaka myinshi ishize nkiri kumwe na papa, hanyuma ndeka igihe nabaga ndi kumwe na mama. Nyuma y'imyaka myinshi, byongeye gutangira."
"I met a guy a while ago, and I can't stop thinking about him. I feel like I love him, but I don't think I know him. What if he is not who I think he is? I cry sometimes thinking someone is going to be with him or that he has a girlfriend. I don't know, am I too obsessive? Every time we talk though, it's like magic. He makes me feel amazing, but what if I'm mistaken?",sadness_low_mood,"Hari igihe mpura n'umusore, kandi sinashobora kureka kumwibuka. Numva nkimukunda, ariko ntekereza ko ndamuzi. Byagenda bite se niba atari uwo nibaza ko ari we? Rimwe na rimwe ndarira ntekereza ko hari umuntu uzamuherekeza cyangwa ko afite umukunzi. Sinzi, mbese ndushaho kumwifuza?"
"I've been experiencing a lot of anxiety and panic attacks lately. I was recently diagnosed by my psychiatrist with obsessive-compulsive disorder. Lately, I've been questioning everything from my career to my relationship. My boyfriend and I just moved in a few months ago. All of a sudden, I don't feel as comfortable around him as I used to, although I can't seem to find a reason as to why I feel this way.",anxiety_worry,"Mperutse guhura n'imihangayiko myinshi no kugira ubwoba. Mperutse kubwirwa n'umuganga wanjye w'indwara yo kwiheba. Mperutse kubaza ibibazo byose, kuva ku kazi kanjye kugeza ku mishyikirano mfitanye n'uwo twashakanye."
"I have lately been having lots of anxiety and self-loathing about the fact that I am a young adult virgin girl who has never had a boyfriend before. It seems like everyone my age has already had boyfriends by now or are not virgins anymore, and I just had my first kiss five months ago. I’m worried that, at this rate, I won’t have a boyfriend for a very long time. The problem is that I want to lose my virginity to my first boyfriend who cares about me, but at the same time, I don't want to be waiting forever in order to experience sex. I have already given in to bad temptations by hooking up with random strangers on social media sites and having oral sex with them. Luckily, they were nice guys, but none of them wanted a relationship with me. I feel dirty by doing this, but I feel pressured to do this things in order to seem normal.
   Most people are surprised when they find out that I am a virgin or never had a boyfriend because people think I am really good looking. I am tall, I play lots of sports, and I get excellent grades in school. I am in my first year of university right now, and no guys have approached me to go out on a date or showed any interest. It bothers me. Most of the people in my family have been in relationships at my age already. I feel like I will be single forever sometimes.",sleep,"Mfite ubwoba bwinshi kandi niyizera cyane kubera ko ndi umukobwa w'isugi ukiri muto utari warigeze agira umukunzi. Birasa n'aho abantu bose mu kigero cyanjye baba baramaze kugira umukunzi cyangwa bakaba batakiri abasore, kandi ni bwo gusa nafashe ikinono cya mbere mu mezi atanu ashize. Mfite impungenge ko, muri ibi bihe, nta musore nzagira igihe kirekire. Ikibazo ni uko nshaka gutakaza ubusore bwanjye ku musore wanjye wa mbere unkunda, ariko nanone, sinshaka kuba umukunzi wanjye."
"For my whole life, I’ve been very unconfident, insecure, and self-questioning. I'm super quiet because I'm scared of what people will think of me. I avoid all social situations as it causes me great anxiety. It is how both of my parents have always been, and I feel like I'm doomed to that life also. It makes it super hard for me at work as the other employees try to use me and walk all over me because I’m too nice. It causes me depression and brings me down. I’m in my early twenties, and I really need to create a better life for myself. I've been like this for so long, so how do I change?",overwhelmed_identity,"Mu buzima bwanjye bwose, numvaga ntiringira, ntekanye kandi nibaza ibibazo. Ndi umuntu utuje cyane kuko ntinya ibyo abantu bazanyumva. Nkirinda imimerere yose yo mu muryango kuko bituma mpangayika cyane. Uko ni ko ababyeyi banjye bose bahora ari, kandi numva ko nanjye nzabona ubuzima nk'ubwo. Birambabaza cyane ku kazi kuko abandi bakozi bagerageza kunshakisha no kunshyira hejuru kuko ndi mwiza cyane. Binteza kwiheba no kunshyira hasi."
"I have a lot of issues going on right now. First of all, I have a lot of trouble sleeping at times, while other nights I sleep too much and still feel quite tired. I’m also noticing increased irritability and experiencing anxiety attacks that last for hours. Is there something wrong with me and if so what should I do?",sleep,"Mfite ibibazo byinshi muri iki gihe. Icya mbere, hari igihe numva ntasinzira neza, mu gihe mu yindi minsi ndyama cyane kandi nkumva nduhutse. Nanone mbona ko ndushaho guhangayika kandi nkaba mfite ibibazo by'imihangayiko bimara amasaha menshi."
"I feel that I need to end my present relationship. He lives three hours away and likes the reassurance of having someone to talk to multiple times per day and seeing me once or twice a month. I want someone who is more present and more of a life companion. Lately, he has had a very busy work schedule and I have only seen him a few times in the last 6 weeks. I told him that I can't continue in this way because I constantly feel frustrated and angry and that he is not making the relationship enough of a priority. I also feel it is keeping me from possibly finding the relationship I want. We have been together 7 years. The problem is that I panic and experience anxiety and depression thinking of him with someone else and then thinking I will never meet someone I like. We have gone through this cycle already 4-5 times and I feel it is unhealthy to stay in it, but my aversion to the anxiety and depression I experience upon separation always leads me to reconcile.",sadness_low_mood,"Numva ngomba kurangiza umubano wanjye.Abana banjye baba kure amasaha atatu kandi bakunda kumva ko hari umuntu baganira inshuro nyinshi ku munsi kandi ko bambona rimwe cyangwa kabiri mu kwezi.Nashaka umuntu uriho kandi ari mugenzi wanjye mu buzima.Muri iyi minsi, afite gahunda y'akazi yihariye kandi mu byumweru 6 bishize namubonye inshuro nkeya gusa.Namubwiye ko ntashobora gukomeza muri ubu buryo kuko mpora numva ncitse intege kandi ndakariye kandi ko adashyira umubano imbere bihagije."
"I'm a teenager, and I struggle with going out and talking to people. I feel awful about leaving home. I know I can't afford a therapist so I don't know what my problem is, but I think I might have social anxiety.",anxiety_worry,"Ndi ingimbi, kandi mpanganye n'ikibazo cyo kujya hanze no kuganira n'abantu. Numva mfite ubwoba bwo kuva mu rugo. Ndabizi ko ntashobora kwishyura umwarimu, bityo sinzi ikibazo mfite, ariko ndatekereza ko nshobora kugira impungenge mu by'imibereho."
"Whenever I don't tell my friends or anyone what I did or stuff that's not really important, I feel terrible, like there’s a hole in my stomach. It only goes away when I hurt myself.",overwhelmed_identity,"Iyo ntavuze ibyo nakoze cyangwa ibyo ntavuze ku nshuti zanjye cyangwa undi muntu uwo ari we wese, numva nabi cyane, nk'aho mfite icyuho mu nda."
"I was raped repeatedly when I was younger. I told my parents and action was taken, but now that I’m an adult, I suffer from extreme anxiety.",anxiety_worry,"Igihe nari muto, nabaye umwere incuro nyinshi, mbwira ababyeyi banjye ko hari icyo bakoze, ariko ubu ko maze kuba umuntu mukuru, ndwara indwara yo guhangayika."
"I find myself being very outgoing most of the time, but there are some times when I don't know what to say. I don't even want to talk at all. It's like, I search for the right thing to say and nothing ever comes out. I don't know if I'm outgoing only to fill the void of not knowing what to say. I don’t know if people like that about me. I'm very self-conscious and always think people are talking about me, so it makes me have a cold shoulder and not want to talk.",overwhelmed_identity,"Ndumva ndi umuntu usohoka cyane, ariko hari igihe ntamenya icyo mvuga. Ndumva ntashaka no kuvuga. Ni nko gushaka ikintu cyiza cyo kuvuga ariko nta kintu na kimwe kiboneka. Sinzi niba ngiye gusohoka gusa kugira ngo nuzuze icyuho cyo kutamenya icyo mvuga. Sinzi niba abantu banyishimira. Ndi umuntu wiyemera cyane kandi buri gihe ntekereza ko abantu bavuga ibyanjye, bityo bituma ngira umutego uhindagurika ntashaka kuvuga"
"My dad refuses to acknowledge my anxieties about going to parties, dinners, etc. Whenever I have an opinion it gets shut down. My mom and everyone else behaves likewise. For my father who heads a company, this is normal. He has to be right all the time. He blatantly refuses to even try to see it from my angle.    Recently however, it's been getting to the point where I feel pressured and unable to speak my mind. It isn't possible for me to get professional one-on-one help. He tells me to grow a pair and get over it. I recently have been developing more severe body image and self-confidence issues, which I have had all my life. I feel invalidated by my dad. I have been more paranoid lately as well. I can't turn on location services anymore on my phone because of a past incident. He makes me feel guilty about it. I feel rather worthless more often than not, unfortunately. What do I do?",sadness_low_mood,"Papa yanze kwemera ko mpangayikishijwe no kujya mu birori, mu birori, n'ibindi. Igihe cyose mfite igitekerezo, gihagarara. Mama n'abandi bose bakomeza kwitwara batyo. Papa uyobora sosiyete, ibyo ni ibisanzwe. Agomba guhora ari mu kuri. Yanze no kubibona nk'uko mbibona. Icyakora, mu minsi ishize, ibintu byatangiye kugera aho numva mpangayitse kandi ntashobora kuvuga icyo ntekereza."
"Whenever I leave my girlfriend I get panic attacks. I'm taking medications to control them, but I'm thinking of moving in with her since I get so anxious.",anxiety_worry,"Iyo mvuye mu mukunzi wanjye, ngira ubwoba, nkajya mfata imiti yo kugabanya ibyago, ariko ntekereza kwimukira aho ari kuko mpangayitse cyane."
